Agent,Allow,Disallow
seznambot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
seznambot,/safetycheck/,/checkpoint/
seznambot,NA,/contact_importer/
seznambot,NA,/dialog/
seznambot,NA,/fbml/ajax/dialog/
seznambot,NA,/feeds/
seznambot,NA,/file_download.php
seznambot,NA,/hashtag/
seznambot,NA,/l.php
seznambot,NA,/live/
seznambot,NA,/moments_app/
seznambot,NA,/p.php
seznambot,NA,/photo.php
seznambot,NA,/photos.php
seznambot,NA,/share.php
seznambot,NA,/share/
seznambot,NA,/sharer.php
seznambot,NA,/sharer/
Slurp,/ajax/bootloader-endpoint/,/ajax/
Slurp,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Slurp,/safetycheck/,/checkpoint/
Slurp,NA,/contact_importer/
Slurp,NA,/dialog/
Slurp,NA,/fbml/ajax/dialog/
Slurp,NA,/feeds/
Slurp,NA,/file_download.php
Slurp,NA,/hashtag/
Slurp,NA,/l.php
Slurp,NA,/live/
Slurp,NA,/moments_app/
Slurp,NA,/p.php
Slurp,NA,/photo.php
Slurp,NA,/photos.php
Slurp,NA,/share.php
Slurp,NA,/share/
Slurp,NA,/sharer.php
Slurp,NA,/sharer/
teoma,/ajax/bootloader-endpoint/,/ajax/
teoma,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
teoma,/safetycheck/,/checkpoint/
teoma,NA,/contact_importer/
teoma,NA,/dialog/
teoma,NA,/fbml/ajax/dialog/
teoma,NA,/feeds/
teoma,NA,/file_download.php
teoma,NA,/hashtag/
teoma,NA,/l.php
teoma,NA,/live/
teoma,NA,/moments_app/
teoma,NA,/p.php
teoma,NA,/photo.php
teoma,NA,/photos.php
teoma,NA,/share.php
teoma,NA,/share/
teoma,NA,/sharer.php
teoma,NA,/sharer/
Twitterbot,/ajax/bootloader-endpoint/,/ajax/
Twitterbot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Twitterbot,/safetycheck/,/checkpoint/
Twitterbot,NA,/contact_importer/
Twitterbot,NA,/dialog/
Twitterbot,NA,/fbml/ajax/dialog/
Twitterbot,NA,/feeds/
Twitterbot,NA,/file_download.php
Twitterbot,NA,/hashtag/
Twitterbot,NA,/l.php
Twitterbot,NA,/live/
Twitterbot,NA,/moments_app/
Twitterbot,NA,/p.php
Twitterbot,NA,/photo.php
Twitterbot,NA,/photos.php
Twitterbot,NA,/share.php
Twitterbot,NA,/share/
Twitterbot,NA,/sharer.php
